sentence_id	dependent_id	dependent	dep_lemma	UPOS	XPOS	head_id	dependency_type	dependency_distance	dd_abs
6	22	都有	都有	VERB	VV	12	parataxis	-10	10
6	23	利益	利益	NOUN	NN	22	obj	-1	1
6	24	。	。	PUNCT	.	22	punct	-2	2
EOS
7	1	农村	农村	NOUN	NN	2	nmod	1	1
7	2	居民	居民	NOUN	NN	9	nsubj	7	7
7	3	，	，	PUNCT	,	2	punct	-1	1
7	4	与	与	ADP	IN	5	case	1	1
7	5	其	其	PRON	PRP	7	obl	2	2
7	6	亲自	亲自	ADV	RB	7	advmod	1	1
7	7	劳动	劳动	VERB	VV	9	advcl	2	2
7	8	来	来	ADV	RB	9	mark	1	1
7	9	制造	制造	VERB	VV	0	root	-9	9
7	10	他们	他	PRON	PRP	11	nsubj	1	1
7	11	需要	需要	VERB	VV	14	acl:relcl	3	3
7	12	的	的	PART	DEC	11	mark:rel	-1	1
7	13	制造	制造	VERB	VV	14	compound	1	1
7	14	品	品	PART	SFN	9	obj	-5	5
7	15	，	，	PUNCT	,	17	punct	2	2
7	16	无宁	无宁	PROPN	NNP	17	nsubj	1	1
7	17	作	作	VERB	VV	9	parataxis	-8	8
7	18	这	这	DET	DT	19	det	1	1
7	19	种	种	NOUN	NNB	20	clf	1	1
7	20	交换	交换	NOUN	NN	17	obj	-3	3
7	21	，	，	PUNCT	,	29	punct	8	8
7	22	因为	因为	ADP	IN	23	case	1	1
7	23	由	由	ADP	IN	26	case	3	3
7	24	这	这	DET	DT	25	det	1	1
7	25	种	种	NOUN	NNB	26	clf	1	1
7	26	交换	交换	NOUN	NN	29	obl	3	3
7	27	，	，	PUNCT	,	26	punct	-1	1
7	28	他们	他	PRON	PRP	29	nsubj	1	1
7	29	可用	可用	VERB	VV	9	parataxis	-20	20
7	30	较小	较小	ADJ	JJ	31	compound	1	1
7	31	量	量	PART	SFN	36	nmod	5	5
7	32	的	的	PART	DEC	31	case	-1	1
7	33	自身	自身	PRON	PRD	36	nmod	3	3
7	34	劳动	劳动	NOUN	NN	36	nmod	2	2
7	35	生产	生产	VERB	VV	36	compound	1	1
7	36	物	物	PART	SFN	37	nsubj	1	1
7	37	购得	购得	VERB	VV	29	ccomp	-8	8
7	38	较	较	ADV	RB	39	advmod	1	1
7	39	大量	大量	ADJ	JJ	42	amod	3	3
7	40	的	的	PART	DEC	39	mark:rel	-1	1
7	41	制造	制造	VERB	VV	42	compound	1	1
7	42	品	品	PART	SFN	37	obj	-5	5
7	43	。	。	PUNCT	.	9	punct	-34	34
EOS
8	1	都市	都市	NOUN	NN	7	nsubj	6	6
8	2	是	是	AUX	VC	7	cop	5	5
8	3	农村	农村	NOUN	NN	5	nmod	2	2
8	4	剩余	剩余	ADJ	JJ	5	amod	1	1
8	5	产物	产物	NOUN	NN	7	nmod	2	2
8	6	的	的	PART	DEC	5	mark:rel	-1	1
8	7	市场	市场	NOUN	NN	0	root	-7	7
8	8	，	，	PUNCT	,	19	punct	11	11
8	9	农民	农民	NOUN	NN	10	nsubj	1	1
8	10	用	用	VERB	VV	19	advcl	9	9
8	11	不了	不了	ADJ	JJ	10	xcomp	-1	1
8	12	的	的	PART	DEC	10	mark:rel	-2	2
8	13	东西	东西	NOUN	NN	10	obj	-3	3
8	14	，	，	PUNCT	,	10	punct	-4	4
8	15	就	就	ADV	RB	19	mark	4	4
8	16	拿到	拿到	VERB	VV	19	advcl	3	3
8	17	都市	都市	NOUN	NN	16	obj	-1	1
8	18	去	去	ADV	RB	19	mark	1	1
8	19	交换	交换	VERB	VV	7	parataxis	-12	12
8	20	他们	他	PRON	PRP	21	nsubj	1	1
8	21	需要	需要	VERB	VV	23	acl:relcl	2	2
8	22	的	的	PART	DEC	21	mark:rel	-1	1
8	23	物品	物品	NOUN	NN	19	obj	-4	4
8	24	。	。	PUNCT	.	7	punct	-17	17
EOS
9	1	都市	都市	NOUN	NN	3	nmod	2	2
9	2	的	的	PART	DEC	1	case	-1	1
9	3	居民	居民	NOUN	NN	5	nsubj	2	2
9	4	愈	愈	ADV	RB	5	advmod	1	1
9	5	多	多	ADJ	JJ	0	root	-5	5
