sentence_ID	dependent_ID	dependent	dependent_lemma	dependent_UPOS	dependent_XPOS	head_ID	dependency_type
1	1	人	人	NOUN	NN	2	compound
1	2	人	人	PART	SFN	4	nsubj
1	3	都	都	ADV	RB	4	mark
1	4	力图	力图	VERB	VV	0	root
1	5	依靠	依靠	ADP	IN	8	case
1	6	自己	自己	PRON	PRD	8	det
1	7	的	的	PART	DEC	6	case
1	8	劳动	劳动	NOUN	NN	4	obl
1	9	来	来	ADV	RB	10	mark
1	10	满足	满足	VERB	VV	4	xcomp
1	11	自身	自身	PRON	PRD	13	nsubj
1	12	随时	随时	ADV	RB	13	advmod
1	13	发生	发生	VERB	VV	15	acl:relcl
1	14	的	的	PART	DEC	13	mark:rel
1	15	需要	需要	NOUN	NN	10	obj
EOS
2	1	饿	饿	VERB	VV	6	advcl
2	2	了	了	AUX	AS	1	aux
2	3	便	便	ADV	RB	6	mark
2	4	到	到	VERB	VV	6	advcl
2	5	森林	森林	NOUN	NN	4	obj
2	6	去	去	VERB	VV	9	advcl
2	7	打猎	打猎	VERB	VV	6	xcomp
2	8	衣服	衣服	NOUN	NN	9	nsubj
2	9	坏	坏	ADJ	JJ	16	advcl
2	10	了	了	PART	UH	9	discourse
2	11	便	便	VERB	VV	15	acl:relcl
2	12	剥兽	剥兽	VERB	VV	13	compound
2	13	类	类	PART	SFN	11	obj
2	14	的	的	PART	DEC	11	mark:rel
2	15	皮革	皮革	NOUN	NN	16	nsubj
2	16	来穿	来穿	VERB	VV	29	advcl
2	17	房屋	房屋	NOUN	NN	18	nsubj
2	18	破	破	VERB	VV	29	advcl
2	19	了	了	PART	UH	18	discourse
2	20	便	便	ADV	RB	23	mark
2	21	就	就	ADV	RB	23	mark
2	22	近	近	ADV	RB	23	advmod
2	23	伐取	伐取	VERB	VV	29	advcl
2	24	树枝	树枝	NOUN	NN	25	nmod
2	25	草皮	草皮	NOUN	NN	23	obj
2	26	尽其	尽其	VERB	VV	29	advcl
2	27	所	所	ADV	RB	26	mark
2	28	能	能	AUX	MD	26	aux
2	29	加	加	VERB	VV	0	root
2	30	以	以	ADV	RB	31	mark
