sentence_ID	dependent_ID	dependent	dependent_lemma	dependent_UPOS	dependent_XPOS	head_ID	dependency_type
7	34	较	较	ADV	RB	35	advmod
7	35	大量	大量	ADJ	JJ	38	amod
7	36	的	的	PART	DEC	35	mark:rel
7	37	制造	制造	VERB	VV	38	compound
7	38	品	品	PART	SFN	33	obj
EOS
8	1	都市	都市	NOUN	NN	7	nsubj
8	2	是	是	AUX	VC	7	cop
8	3	农村	农村	NOUN	NN	5	nmod
8	4	剩余	剩余	ADJ	JJ	5	amod
8	5	产物	产物	NOUN	NN	7	nmod
8	6	的	的	PART	DEC	5	mark:rel
8	7	市场	市场	NOUN	NN	0	root
8	8	农民	农民	NOUN	NN	9	nsubj
8	9	用	用	VERB	VV	17	advcl
8	10	不了	不了	ADJ	JJ	9	xcomp
8	11	的	的	PART	DEC	9	mark:rel
8	12	东西	东西	NOUN	NN	9	obj
8	13	就	就	ADV	RB	17	mark
8	14	拿到	拿到	VERB	VV	17	advcl
8	15	都市	都市	NOUN	NN	14	obj
8	16	去	去	ADV	RB	17	mark
8	17	交换	交换	VERB	VV	7	parataxis
8	18	他们	他	PRON	PRP	19	nsubj
8	19	需要	需要	VERB	VV	21	acl:relcl
8	20	的	的	PART	DEC	19	mark:rel
8	21	物品	物品	NOUN	NN	17	obj
EOS
9	1	都市	都市	NOUN	NN	3	nmod
9	2	的	的	PART	DEC	1	case
9	3	居民	居民	NOUN	NN	5	nsubj
9	4	愈	愈	ADV	RB	5	advmod
9	5	多	多	ADJ	JJ	0	root
9	6	其	其	PRON	PRP	7	nmod
9	7	居民	居民	NOUN	NN	9	nmod
9	8	的	的	PART	DEC	7	case
9	9	收入	收入	NOUN	NN	10	nsubj
9	10	愈大	愈大	ADJ	JJ	5	parataxis
9	11	农村	农村	NOUN	NN	13	nmod
9	12	剩余	剩余	ADJ	JJ	13	amod
9	13	产物	产物	NOUN	NN	15	nmod
9	14	的	的	PART	DEC	13	case
9	15	市场	市场	NOUN	NN	17	nsubj
9	16	愈	愈	ADV	RB	17	advmod
9	17	广阔	广阔	ADJ	JJ	5	parataxis
EOS
10	1	这	这	DET	DT	2	det
10	2	种	种	NOUN	NNB	3	clf
10	3	市场	市场	NOUN	NN	10	nsubj
10	4	愈	愈	ADV	RB	5	advmod
10	5	广阔	广阔	ADJ	JJ	10	advcl
10	6	对	对	ADP	IN	8	case
10	7	广大	广大	ADJ	JJ	8	amod
10	8	人民	人民	NOUN	NN	10	nmod
10	9	愈	愈	ADV	RB	10	advmod
